name,company_founded,company_relationship,company_type,demographics_gender,location_region,wealth_type,wealth_how_category,wealth_how_industry,wealth_how_inherited
A Jerrold Perenchio,1955,former chairman and CEO,aquired,male,North America,executive,Non-Traded Sectors,Media,not inherited
A. Jerrold Perenchio,1955,former chairman and CEO,aquired,male,North America,executive,Non-Traded Sectors,Media,not inherited
Abdul Al Rahman  Al Jeraisy,1956,founder,new,male,Middle East/North Africa,founder non-finance,Traded Sectors,Consumer,not inherited
Abdul Aziz Al Ghurair,1960,relation,new,male,Middle East/North Africa,inherited,Financial,Money Management,father
Abdul Aziz Al-Sulaiman,1968,founder,new,male,Middle East/North Africa,self-made finance,Financial,Money Management,not inherited
Abdulla Al Futtaim,1930,relation,new,male,Middle East/North Africa,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Abdulla bin Ahmad Al Ghurair,1960,relation,new,male,Middle East/North Africa,inherited,Financial,Diversified financial,father
Abdullah Al Rajhi,1957,founder,new,male,Middle East/North Africa,self-made finance,Financial,Money Management,not inherited
Abdulsamad Rabiu,1988,founder,new,male,Sub-Saharan Africa,founder non-finance,Traded Sectors,Consumer,not inherited
Abigail Johnson,1946,relation,new,female,North America,inherited,Financial,Money Management,3rd generation
Abilio dos Santos Diniz,1948,relation,new,male,Latin America,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Achille Maramotti,1951,founder,new,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Achmad Hamami,1980,founder,new,male,East Asia,founder non-finance,Traded Sectors,Non-consumer industrial,not inherited
Adi Godrej,1897,relation,new,male,South Asia,inherited,Traded Sectors,Consumer,3rd generation
Adolf Merckle,1881,relation,new,male,Europe,inherited,New Sectors,Technology-Medical,4th generation
Adrian Swire,1816,relation,new,male,Europe,inherited,Financial,Diversified financial,4th generation
Adrian and John Swire,1816,relation,new,male,East Asia,inherited,Financial,Money Management,4th generation
Aerin Lauder Zinterhofer,1946,relation,new,female,North America,inherited,Traded Sectors,Consumer,3rd generation
Ahmed Ali Kanoo,1890,relation,new,male,Middle East/North Africa,inherited,Traded Sectors,Consumer,3rd generation
Ahmet Calik,1981,relation,new,male,Middle East/North Africa,privatized and resources,Resource Related,Energy,not inherited
Ahmet Nazif Zorlu,1953,founder,new,male,Middle East/North Africa,self-made finance,Financial,Diversified financial,not inherited
Ahsen Ozokur,1944,relation,new,female,Middle East/North Africa,inherited,Traded Sectors,Consumer,father
